t,v,r,s
2022-05-14T23:45:00.146-07:00,12196,0,0
2022-05-15T00:00:00.146-07:00,12197,0,0
2022-05-15T00:15:00.245-07:00,12197,0,0
2022-05-15T00:30:00.235-07:00,12198,0,0
2022-05-15T00:45:00.234-07:00,12199,0,0
2022-05-15T01:00:00.288-07:00,12199,0,0
2022-05-15T01:15:00.234-07:00,12200,0,0
2022-05-15T01:30:00.250-07:00,12200,0,0
2022-05-15T01:45:00.251-07:00,12201,0,0
2022-05-15T02:00:00.222-07:00,12202,0,0
2022-05-15T02:15:00.227-07:00,12202,0,0
2022-05-15T02:30:02.470-07:00,12203,0,0
2022-05-15T02:45:00.261-07:00,12203,0,0
2022-05-15T03:00:00.231-07:00,12204,0,0
2022-05-15T03:15:00.245-07:00,12204,0,0
2022-05-15T03:30:00.253-07:00,12205,0,0
2022-05-15T03:45:00.569-07:00,12206,0,0
2022-05-15T04:00:00.259-07:00,12206,0,0
2022-05-15T04:15:00.219-07:00,12207,0,0
2022-05-15T04:30:00.307-07:00,12207,0,0
2022-05-15T04:45:00.240-07:00,12208,0,0
2022-05-15T05:00:01.534-07:00,12208,0,0
2022-05-15T05:15:00.229-07:00,12209,0,0
2022-05-15T05:30:00.236-07:00,12210,0,0
2022-05-15T05:45:00.233-07:00,12210,0,0
2022-05-15T06:00:00.310-07:00,12211,0,0
2022-05-15T06:15:00.281-07:00,12211,0,0
2022-05-15T06:30:00.247-07:00,12212,0,0
2022-05-15T06:45:00.254-07:00,12213,0,0
2022-05-15T07:00:00.248-07:00,12213,0,0
2022-05-15T07:15:00.230-07:00,12214,0,0
2022-05-15T07:30:00.257-07:00,12214,0,0
2022-05-15T07:45:00.216-07:00,12215,0,0
2022-05-15T08:00:00.318-07:00,12215,0,0
2022-05-15T08:15:00.238-07:00,12216,0,0
2022-05-15T08:30:00.307-07:00,12217,0,0
2022-05-15T08:45:00.265-07:00,12217,0,0
2022-05-15T09:00:00.260-07:00,12218,0,0
2022-05-15T09:15:00.276-07:00,12218,0,0
2022-05-15T09:30:00.274-07:00,12219,0,0
2022-05-15T09:45:00.245-07:00,12219,0,0
2022-05-15T10:00:00.325-07:00,12220,0,0
2022-05-15T10:15:00.268-07:00,12221,0,0
2022-05-15T10:30:00.260-07:00,12221,0,0
2022-05-15T10:45:00.239-07:00,12222,0,0
2022-05-15T11:00:00.220-07:00,12222,0,0
2022-05-15T11:15:00.237-07:00,12223,0,0
2022-05-15T11:30:00.250-07:00,12223,0,0
2022-05-15T11:45:00.243-07:00,12224,0,0
2022-05-15T12:00:00.249-07:00,12225,0,0
2022-05-15T12:15:00.294-07:00,12225,0,0
2022-05-15T12:30:00.271-07:00,12226,0,0
2022-05-15T12:45:00.230-07:00,12226,0,0
2022-05-15T13:00:00.326-07:00,12227,0,0
2022-05-15T13:15:00.234-07:00,12227,0,0
2022-05-15T13:30:00.316-07:00,12228,0,0
2022-05-15T13:45:00.225-07:00,12228,0,0
2022-05-15T14:00:00.324-07:00,12229,0,0
2022-05-15T14:15:01.247-07:00,12230,0,0
2022-05-15T14:30:00.267-07:00,12230,0,0
2022-05-15T14:45:00.269-07:00,12231,0,0
2022-05-15T15:00:00.298-07:00,12231,0,0
2022-05-15T15:15:00.267-07:00,12232,0,0
2022-05-15T15:30:01.899-07:00,12232,0,0
2022-05-15T15:45:00.301-07:00,12233,0,0
2022-05-15T16:00:00.244-07:00,12234,0,0
2022-05-15T16:15:00.248-07:00,12234,0,0
2022-05-15T16:30:00.314-07:00,12235,0,0
2022-05-15T16:45:00.237-07:00,12235,0,0
2022-05-15T17:00:00.240-07:00,12236,0,0
2022-05-15T17:15:00.240-07:00,12236,0,0
2022-05-15T17:30:00.318-07:00,12237,0,0
2022-05-15T17:45:00.228-07:00,12238,0,0
2022-05-15T18:00:00.221-07:00,12238,0,0
2022-05-15T18:15:00.304-07:00,12239,0,0
2022-05-15T18:30:00.321-07:00,12239,0,0
2022-05-15T18:45:00.226-07:00,12240,0,0
2022-05-15T19:00:00.256-07:00,12240,0,0
2022-05-15T19:15:00.274-07:00,12241,0,0
2022-05-15T19:30:00.330-07:00,12242,0,0
2022-05-15T19:45:00.245-07:00,12242,0,0
2022-05-15T20:00:00.335-07:00,12243,0,0
2022-05-15T20:15:00.258-07:00,12243,0,0
2022-05-15T20:30:00.274-07:00,12244,0,0
2022-05-15T20:45:00.229-07:00,12244,0,0
2022-05-15T21:00:00.276-07:00,12245,0,0
2022-05-15T21:15:00.248-07:00,12246,0,0
2022-05-15T21:30:00.259-07:00,12246,0,0
2022-05-15T21:45:00.278-07:00,12247,0,0
2022-05-15T22:00:00.255-07:00,12247,0,0
2022-05-15T22:15:00.251-07:00,12248,0,0
2022-05-15T22:30:00.229-07:00,12249,0,0
