t,kvaA,kvaB,kvaC 
2022-07-24T10:00-07:00,23771.242633344464,18823.92817665856,21856.171790442473
2022-07-24T10:15-07:00,23777.593486305548,17979.264732834137,20295.016662553728
2022-07-24T10:30-07:00,24006.22419290464,18792.75126212232,22202.58195195625
2022-07-24T10:45-07:00,24133.241252126358,18823.92817665856,23177.14920634834
2022-07-24T11:00-07:00,23891.908839605094,18186.53347947321,20513.255064307403
2022-07-24T11:15-07:00,24612.44197555375,18671.5077055925,22202.58195195625
2022-07-24T11:30-07:00,24615.906077168886,18099.930939094767,20535.19437453661
2022-07-24T11:45-07:00,23891.908839605094,18186.53347947321,20151.25644552551
2022-07-24T12:00-07:00,24495.239870908255,18703.26197039793,21856.171790442473
2022-07-24T12:15-07:00,23891.908839605094,18582.595764137295,21856.171790442473
2022-07-24T12:30-07:00,24257.948910271316,18582.595764137295,20655.283230528054
2022-07-24T12:45-07:00,24006.22419290464,18913.99481865214,21961.249539434986
2022-07-24T13:00-07:00,25824.87754085196,18394.956926650666,20975.135279659105
2022-07-24T13:15-07:00,25461.1468712625,18394.956926650666,20732.64816659946
2022-07-24T13:30-07:00,24733.685532083568,18913.99481865214,22202.58195195625
2022-07-24T13:45-07:00,24127.46774943446,18307.777036003034,20995.91988934993
2022-07-24T14:00-07:00,24374.57366464762,18307.777036003034,20995.91988934993
2022-07-24T14:15-07:00,24133.241252126358,18703.26197039793,22096.349502425357
2022-07-24T14:30-07:00,24120.539546204185,18273.136019851656,20853.891723129283
2022-07-24T14:45-07:00,24733.685532083568,18307.777036003034,21116.586095610564
2022-07-24T15:00-07:00,25822.568139775205,18792.75126212232,22926.579189520042
2022-07-24T15:15-07:00,24736.572283429516,18944.594382919193,22816.882638374012
2022-07-24T15:30-07:00,24012.575045865728,18429.020592532856,20995.91988934993
2022-07-24T15:45-07:00,24127.46774943446,19277.725488241605,20995.91988934993
2022-07-24T16:00-07:00,24736.572283429516,19306.593001701087,22336.527214408245
2022-07-24T16:15-07:00,24374.57366464762,18429.020592532856,20754.587476828667
2022-07-24T16:30-07:00,25218.659758202855,19156.481931711784,22685.246776998778
2022-07-24T16:45-07:00,25339.903314732677,18429.020592532856,21237.252301871195
2022-07-24T17:00-07:00,23891.908839605094,18307.777036003034,21135.63865449382
2022-07-24T17:15-07:00,24248.711305964283,19156.481931711784,22443.914364477514
2022-07-24T17:30-07:00,24017.771198288432,18099.930939094767,20655.283230528054
2022-07-24T17:45-07:00,24127.46774943446,18307.777036003034,20875.2536830893
2022-07-24T18:00-07:00,25098.570902211413,19306.593001701087,23057.060350356896
2022-07-24T18:15-07:00,24857.23848969015,18792.75126212232,21135.63865449382
2022-07-24T18:30-07:00,24495.239870908255,18823.92817665856,22456.616070399687
2022-07-24T18:45-07:00,24253.90745838699,18823.92817665856,22216.4383584168
2022-07-24T19:00-07:00,23891.908839605094,18550.264149062677,20875.2536830893
2022-07-24T19:15-07:00,24133.241252126358,19156.481931711784,22202.58195195625
2022-07-24T19:30-07:00,24253.90745838699,20030.59023926488,22096.349502425357
2022-07-24T19:45-07:00,24736.572283429516,18671.5077055925,21237.252301871195
2022-07-24T20:00-07:00,24380.347167339518,19334.30581462219,22468.16307578348
2022-07-24T20:15-07:00,25336.439213117537,19574.483526605072,22002.81875881664
2022-07-24T20:30-07:00,25578.92632617718,18582.595764137295,20535.19437453661
2022-07-24T20:45-07:00,25701.90193351457,19035.23837518196,22443.914364477514
2022-07-24T21:00-07:00,26063.900552296465,19520.21260130125,22805.912983259408
2022-07-24T21:15-07:00,25703.63398432214,18429.020592532856,20754.587476828667
2022-07-24T21:30-07:00,26787.897789860257,19035.23837518196,22685.246776998778
2022-07-24T21:45-07:00,25943.234346035835,18913.99481865214,22936.971494365454
2022-07-24T22:00-07:00,24857.23848969015,18461.929557876665,21255.727510485263
2022-07-24T22:15-07:00,24978.48204621997,18733.86153466498,22587.67458150573
2022-07-24T22:30-07:00,25098.570902211413,19214.216958630746,22229.14006433897
2022-07-24T22:45-07:00,25218.659758202855,18373.594966690653,20555.978984227437
2022-07-24T23:00-07:00,25338.748614194297,18733.86153466498,22229.14006433897
2022-07-24T23:15-07:00,25578.92632617718,18823.92817665856,22096.349502425357
2022-07-24T23:30-07:00,25578.92632617718,18220.5971453554,20655.283230528054
2022-07-24T23:45-07:00,25578.92632617718,18703.26197039793,22229.14006433897
2022-07-25T00:00-07:00,25575.462224562045,18733.86153466498,22229.14006433897
2022-07-25T00:15-07:00,25218.659758202855,18099.930939094767,20535.19437453661
2022-07-25T00:30-07:00,25098.570902211413,18853.95039065642,22109.62855861672
2022-07-25T00:45-07:00,24738.304334237087,19185.926795440453,22096.349502425357
2022-07-25T01:00-07:00,25338.748614194297,18613.772678673537,20555.978984227437
2022-07-25T01:15-07:00,25218.659758202855,18853.95039065642,22109.62855861672
2022-07-25T01:30-07:00,24738.304334237087,18099.930939094767,20436.467478505183
2022-07-25T01:45-07:00,25216.927707395287,18493.683822682095,20316.955972782933
2022-07-25T02:00-07:00,26179.37060613439,19065.260589179823,22468.16307578348
2022-07-25T02:15-07:00,25575.462224562045,18373.594966690653,21034.02500711645
2022-07-25T02:30-07:00,24380.347167339518,18373.594966690653,20555.978984227437
2022-07-25T02:45-07:00,25458.83747018574,18853.95039065642,22109.62855861672
2022-07-25T03:00-07:00,24978.48204621997,18461.929557876665,20775.372086519495
2022-07-25T03:15-07:00,25098.570902211413,18220.5971453554,20655.283230528054
2022-07-25T03:30-07:00,24978.48204621997,19334.30581462219,21990.117052894468
2022-07-25T03:45-07:00,25578.92632617718,18944.594382919193,22229.14006433897
2022-07-25T04:00-07:00,24499.85867306177,18133.41725470777,20555.978984227437
2022-07-25T04:15-07:00,27009.600293229076,18853.95039065642,22229.14006433897
2022-07-25T04:30-07:00,25814.48523600655,19214.216958630746,22707.186087227983
2022-07-25T04:45-07:00,25822.568139775205,18220.5971453554,20775.372086519495
2022-07-25T05:00-07:00,25098.570902211413,18493.683822682095,20795.00199567194
2022-07-25T05:15-07:00,24858.39319022853,18944.594382919193,22096.349502425357
2022-07-25T05:30-07:00,25581.23572725394,18220.5971453554,20775.372086519495
2022-07-25T05:45-07:00,25939.192894151507,18253.50611069921,21870.605547172214
2022-07-25T06:00-07:00,26299.459462125833,19094.128102639304,22468.16307578348
2022-07-25T06:15-07:00,28100.792301997466,20895.460942510937,23185.232110116995
2022-07-25T06:30-07:00,26419.548318117275,19094.128102639304,22229.14006433897
2022-07-25T06:45-07:00,25699.015182168623,19214.216958630746,22587.67458150573
2022-07-25T07:00-07:00,26179.37060613439,18013.328398716323,21034.02500711645
2022-07-25T07:15-07:00,25458.83747018574,18613.772678673537,22229.14006433897
2022-07-25T07:30-07:00,24260.835661617264,18733.86153466498,22229.14006433897
2022-07-25T07:45-07:00,24619.370178784022,18493.683822682095,20675.49048994969
2022-07-25T08:00-07:00,25097.416201673033,18429.020592532856,20995.91988934993
2022-07-25T08:15-07:00,24615.906077168886,18913.99481865214,22926.579189520042
2022-07-25T08:30-07:00,24858.39319022853,18582.595764137295,21015.54979850238
2022-07-25T08:45-07:00,24738.304334237087,18220.5971453554,21135.63865449382
2022-07-25T09:00-07:00,25939.192894151507,18823.92817665856,23185.232110116995
2022-07-25T09:15-07:00,26546.565377338993,18671.5077055925,23167.911602041306
2022-07-25T09:30-07:00,25943.234346035835,19035.23837518196,23529.9102208232
2022-07-25T09:45-07:00,26546.565377338993,19398.969044771427,24374.57366464762
2022-07-25T10:00-07:00,26787.897789860257,18550.264149062677,23167.911602041306
2022-07-25T10:15-07:00,26184.5667585571,19065.260589179823,24257.948910271316
2022-07-25T10:30-07:00,25943.234346035835,19035.23837518196,24736.572283429516
2022-07-25T10:45-07:00,27279.800219209817,19035.23837518196,23529.9102208232
2022-07-25T11:00-07:00,28613.479341037855,19277.725488241605,24369.954862494105
2022-07-25T11:15-07:00,29583.427793276427,19277.725488241605,25822.568139775205
2022-07-25T11:30-07:00,27873.893646205943,20995.91988934993,26899.903742083046
2022-07-25T11:45-07:00,26899.903742083046,19668.59162048298,24978.48204621997
2022-07-25T12:00-07:00,28492.235784508033,19734.98690143979,24374.57366464762
2022-07-25T12:15-07:00,27632.56123368468,19762.69971436089,25578.92632617718
2022-07-25T12:30-07:00,28477.224677509104,20247.673940480177,26063.900552296465
2022-07-25T12:45-07:00,28821.32543794612,19668.59162048298,24738.881684506276
2022-07-25T13:00-07:00,27860.614590014582,19547.92541422235,24498.126622254204
2022-07-25T13:15-07:00,26305.23296481773,20005.186827420534,26299.459462125833
2022-07-25T13:30-07:00,26673.58243656071,19641.45615783107,24012.575045865728
2022-07-25T13:45-07:00,27270.562614902785,19547.92541422235,25458.83747018574
2022-07-25T14:00-07:00,28128.505114918567,20100.449621836822,25701.90193351457
2022-07-25T14:15-07:00,28581.147725963234,19065.260589179823,24378.037766262758
2022-07-25T14:30-07:00,28115.226058727207,19762.69971436089,26659.726030100162
2022-07-25T14:45-07:00,28249.74867144839,19762.69971436089,26546.565377338993
2022-07-25T15:00-07:00,26673.58243656071,19520.21260130125,24495.239870908255
2022-07-25T15:15-07:00,27149.896408642155,20126.430383950355,26299.459462125833
2022-07-25T15:30-07:00,27158.55666268,20005.186827420534,25701.90193351457
2022-07-25T15:45-07:00,26425.899171078363,19277.725488241605,24253.90745838699
2022-07-25T16:00-07:00,27270.562614902785,19520.21260130125,25699.015182168623
2022-07-25T16:15-07:00,27632.56123368468,20151.25644552551,25939.192894151507
2022-07-25T16:30-07:00,27511.89502742405,19789.257826743615,23897.68234229699
2022-07-25T16:45-07:00,26908.56399612089,20030.59023926488,24858.39319022853
2022-07-25T17:00-07:00,27279.800219209817,19883.94327089071,25339.903314732677
2022-07-25T17:15-07:00,27029.23020238152,19883.94327089071,23167.911602041306
2022-07-25T17:30-07:00,26179.37060613439,19065.260589179823,22826.697592950237
2022-07-25T17:45-07:00,26425.899171078363,19668.59162048298,23777.593486305548
2022-07-25T18:00-07:00,25098.570902211413,18944.594382919193,21736.08293445103
2022-07-25T18:15-07:00,25460.569520993307,19035.23837518196,21736.08293445103
2022-07-25T18:30-07:00,24733.685532083568,19641.45615783107,22936.971494365454
2022-07-25T18:45-07:00,24495.239870908255,19427.259207961717,20895.460942510937
2022-07-25T19:00-07:00,24738.304334237087,18944.594382919193,21273.048018560952
2022-07-25T19:15-07:00,25458.83747018574,19306.593001701087,22816.882638374012
2022-07-25T19:30-07:00,25822.568139775205,18913.99481865214,21840.583333174356
2022-07-25T19:45-07:00,25218.659758202855,19427.259207961717,22826.697592950237
2022-07-25T20:00-07:00,24495.239870908255,19427.259207961717,22576.70492639113
2022-07-25T20:15-07:00,26305.23296481773,19065.260589179823,21375.816366476705
2022-07-25T20:30-07:00,25939.192894151507,19789.257826743615,22348.651570061225
2022-07-25T20:45-07:00,26667.231583599627,19641.45615783107,21375.816366476705
2022-07-25T21:00-07:00,27019.99259807449,18703.26197039793,21255.727510485263
2022-07-25T21:15-07:00,26539.637174108717,20271.922651786143,23297.23806233978
2022-07-25T21:30-07:00,25933.996741728803,18853.95039065642,21273.048018560952
2022-07-25T21:45-07:00,25455.95071883979,19334.30581462219,21153.5365128387
2022-07-25T22:00-07:00,25578.92632617718,19574.483526605072,22229.14006433897
2022-07-25T22:15-07:00,26412.04276461781,18974.039246647862,21990.117052894468
2022-07-25T22:30-07:00,25458.83747018574,18944.594382919193,21856.171790442473
2022-07-25T22:45-07:00,26173.019753173307,20655.283230528054,22946.209098672487
2022-07-25T23:00-07:00,26539.637174108717,18613.772678673537,21153.5365128387
2022-07-25T23:15-07:00,26299.459462125833,19334.30581462219,22826.697592950237
2022-07-25T23:30-07:00,25699.015182168623,19668.59162048298,23065.72060439474
2022-07-25T23:45-07:00,25332.9751115024,18763.306398393648,21408.147981551323
2022-07-26T00:00-07:00,25575.462224562045,19574.483526605072,22348.651570061225
2022-07-26T00:15-07:00,25336.439213117537,19814.661238587956,22946.209098672487
2022-07-26T00:30-07:00,25819.104038160065,18974.039246647862,21273.048018560952
2022-07-26T00:45-07:00,25819.104038160065,20151.25644552551,23297.23806233978
2022-07-26T01:00-07:00,26305.23296481773,19641.45615783107,22805.912983259408
2022-07-26T01:15-07:00,26539.637174108717,19334.30581462219,21392.559524283206
2022-07-26T01:30-07:00,25699.015182168623,19909.924033004245,22229.14006433897
2022-07-26T01:45-07:00,25699.015182168623,19306.593001701087,21015.54979850238
2022-07-26T02:00-07:00,25701.90193351457,19883.94327089071,21116.586095610564
2022-07-26T02:15-07:00,25701.90193351457,19547.92541422235,22576.70492639113
2022-07-26T02:30-07:00,25581.23572725394,19035.23837518196,21255.727510485263
2022-07-26T02:45-07:00,26067.364653911605,18792.75126212232,20875.2536830893
2022-07-26T03:00-07:00,26667.231583599627,20247.673940480177,23297.23806233978
2022-07-26T03:15-07:00,26184.5667585571,18913.99481865214,21840.583333174356
2022-07-26T03:30-07:00,26184.5667585571,18944.594382919193,21495.905222468147
2022-07-26T03:45-07:00,25699.015182168623,19547.92541422235,22336.527214408245
2022-07-26T04:00-07:00,25822.568139775205,19035.23837518196,20995.91988934993
2022-07-26T04:15-07:00,25822.568139775205,19547.92541422235,22576.70492639113
2022-07-26T04:30-07:00,26179.37060613439,19668.59162048298,22456.616070399687
2022-07-26T04:45-07:00,25458.83747018574,19065.260589179823,21495.905222468147
2022-07-26T05:00-07:00,25458.83747018574,19454.39467061363,22348.651570061225
2022-07-26T05:15-07:00,26299.459462125833,19909.924033004245,23177.14920634834
2022-07-26T05:30-07:00,26546.565377338993,18913.99481865214,21495.905222468147
2022-07-26T05:45-07:00,26908.56399612089,20151.25644552551,23657.504630314106
2022-07-26T06:00-07:00,25822.568139775205,19668.59162048298,23057.060350356896
2022-07-26T06:15-07:00,25939.192894151507,18853.95039065642,22348.651570061225
2022-07-26T06:30-07:00,26059.28175014295,19427.259207961717,22816.882638374012
2022-07-26T06:45-07:00,26787.897789860257,21719.917126913722,24978.48204621997
2022-07-26T07:00-07:00,24618.215478245645,18823.92817665856,21135.63865449382
2022-07-26T07:15-07:00,24378.037766262758,20030.59023926488,23657.504630314106
2022-07-26T07:30-07:00,25578.92632617718,18944.594382919193,21870.605547172214
2022-07-26T07:45-07:00,26059.28175014295,19065.260589179823,22348.651570061225
2022-07-26T08:00-07:00,25578.92632617718,19934.750094579398,23663.278133006002
2022-07-26T08:15-07:00,25699.015182168623,18853.95039065642,22468.16307578348
2022-07-26T08:30-07:00,25098.570902211413,19641.45615783107,24017.771198288432
2022-07-26T08:45-07:00,25822.568139775205,19306.593001701087,23657.504630314106
2022-07-26T09:00-07:00,26305.23296481773,18792.75126212232,23529.9102208232
2022-07-26T09:15-07:00,26552.33888003089,18913.99481865214,23288.577808301936
