Single Line Building Name,Building String,Building code,Building Number,Caltech Building List Name,Substation,Jace,Meter Name (unmodified),Meter Name,Meter Description,Notes,Query Base,Measurements,Measurements Cleaned
Braun Lab,braunLab,BR75,75,BRAUN LABORATORIES,Substation 2,BR75_1,BTU_CHW_075_B1_1,BTU_CHW,C048 Meters BR75 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBR75_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Braun Lab,braunLab,BR75,75,BRAUN LABORATORIES,Substation 2,BR75_1,BTU_HW_075_B1_1,BTU_HW,H026 Meters BR75 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBR75_1$2fBTU_HW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Braun Lab,braunLab,BR75,75,BRAUN LABORATORIES,Substation 2,BR75_1,EM_75_B1_1,EM_75_B1_1,E115 Meters Building BR75,,https://192.168.10.104/webChart/query/data/history$3a$2fBR75_1$2fEM_75_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Braun Lab,braunLab,BR75,75,BRAUN LABORATORIES,Substation 2,BR75_1,EM_75_B1_2,EM_75_B1_2,E114 Meters Building BR75,,https://192.168.10.104/webChart/query/data/history$3a$2fBR75_1$2fEM_75_B1_2_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
East Bridge,eBridge,EB33,33,BRIDGE LABORATORIES EAST,Substation 1,EB33_1,BTU_CHW_033_B2_1,BTU_CHW,C028 Meters EB33 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fEB33_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
East Bridge,eBridge,EB33,33,BRIDGE LABORATORIES EAST,Substation 1,EB33_1,BTU_HW_033_B2_1,BTU_HHW,H012 Meters EB33 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fEB33_1$2fBTU_HHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
East Bridge,eBridge,EB33,33,BRIDGE LABORATORIES EAST,Substation 1,EB33_1,EM_33_B2_1,EM_33_B2_1,E074 Meters Building EB33,,https://192.168.10.104/webChart/query/data/history$3a$2fEB33_1$2fEM_33_B2_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
East Bridge,eBridge,EB33,33,BRIDGE LABORATORIES EAST,Substation 1,EB33_1,EM_33_B2_2,EM_33_B2_2,E073 Meters Building EB33,,https://192.168.10.104/webChart/query/data/history$3a$2fEB33_1$2fEM_33_B2_2_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
West Bridge,wBridge,WB34,34,BRIDGE LABORATORIES WEST,Substation 1,WB34_1,BTU_CHW_034_B1_1,BTU_CHW,C005 Meters WB34 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fWB34_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
West Bridge,wBridge,WB34,34,BRIDGE LABORATORIES WEST,Substation 1,WB34_1,BTU_HW_034_B1_1,BTU_HHW,H013 Meters WB34 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fWB34_1$2fBTU_HHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
