,Unnamed: 0,Single Line Building Name,Building String,Build 3-letter code,Building Number,Caltech Building List Name,Jaces,Substation,New Building Name,Notes,Unnamed: 0.1,name,building,type,geometry
10,9,Arms,arms,,25,ARMS LABORATORY,,Substation 1,,,46.0,Arms,yes,,"POLYGON ((-118.1268456 34.1367056, -118.1268456 34.1365535, -118.1267597 34.1365546, -118.1267597 34.1364436, -118.1266109 34.1364425, -118.1266122 34.1365524, -118.1264607 34.1365503, -118.1264325 34.1365499, -118.1264325 34.1367067, -118.1268456 34.1367056))"
11,10,Linde + Robinson,lindeRobinson,,24,LINDE+ROBINSON LABORATORY,,Substation 1,Ronald and Maxine Linde Laboratry for Global and Environemental Science,,47.0,Linde + Robinson,yes,,"POLYGON ((-118.127082 34.136539, -118.1270876 34.136201, -118.1268932 34.1361977, -118.1268978 34.1365412, -118.1270622 34.1365409, -118.127082 34.136539))"
11,10,Linde + Robinson,lindeRobinson,,24,LINDE+ROBINSON LABORATORY,,Substation 1,Ronald and Maxine Linde Laboratry for Global and Environemental Science,,47.0,Linde + Robinson,yes,,"POLYGON ((-118.127082 34.136539, -118.1270876 34.136201, -118.1268932 34.1361977, -118.1268978 34.1365412, -118.1270622 34.1365409, -118.127082 34.136539))"
12,11,West Bridge,wBridge,,033W,BRIDGE LABORATORIES WEST,,Substation 1,,,79.0,W Bridge,yes,,"POLYGON ((-118.1262689 34.1365513, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.126462 34.1362027, -118.1262702 34.1361994, -118.1262676 34.1364081, -118.1262689 34.1365513))"
12,11,West Bridge,wBridge,,033W,BRIDGE LABORATORIES WEST,,Substation 1,,,79.0,W Bridge,yes,,"POLYGON ((-118.1262689 34.1365513, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.126462 34.1362027, -118.1262702 34.1361994, -118.1262676 34.1364081, -118.1262689 34.1365513))"
13,12,East Bridge,eBridge,,033E,BRIDGE LABORATORIES EAST,,Substation 1,,,78.0,E Bridge,yes,,"POLYGON ((-118.1260101 34.1365513, -118.1260114 34.1364081, -118.1260074 34.1361961, -118.1258143 34.1361972, -118.1258129 34.1363492, -118.1257915 34.1363503, -118.1257941 34.1364158, -118.1258143 34.1364158, -118.1258143 34.1365524, -118.1260101 34.1365513))"
13,12,East Bridge,eBridge,,033E,BRIDGE LABORATORIES EAST,,Substation 1,,,78.0,E Bridge,yes,,"POLYGON ((-118.1260101 34.1365513, -118.1260114 34.1364081, -118.1260074 34.1361961, -118.1258143 34.1361972, -118.1258129 34.1363492, -118.1257915 34.1363503, -118.1257941 34.1364158, -118.1258143 34.1364158, -118.1258143 34.1365524, -118.1260101 34.1365513))"
14,13,North Mudd,northMudd,,23,"MUDD LABORATORY, NORTH",,Substation 1,,,48.0,North Mudd,yes,,"POLYGON ((-118.1276069 34.1367045, -118.1276055 34.1365411, -118.1275966 34.136541, -118.1274641 34.1365459, -118.127082 34.136539, -118.1270622 34.1365409, -118.1270597 34.1367055, -118.1276069 34.1367045))"
15,14,South Mudd,southMudd,,21,"MUDD LABORATORY, SOUTH",,Substation 1,,,45.0,South Mudd,yes,,"POLYGON ((-118.1276424 34.1364921, -118.1276378 34.1362308, -118.1277015 34.1362308, -118.127704 34.1360457, -118.1271403 34.1360447, -118.1271391 34.1362319, -118.1274632 34.1362321, -118.1274641 34.1365459, -118.1275966 34.136541, -118.1275996 34.1364901, -118.1276424 34.1364921))"
15,14,South Mudd,southMudd,,21,"MUDD LABORATORY, SOUTH",,Substation 1,,,45.0,South Mudd,yes,,"POLYGON ((-118.1276424 34.1364921, -118.1276378 34.1362308, -118.1277015 34.1362308, -118.127704 34.1360457, -118.1271403 34.1360447, -118.1271391 34.1362319, -118.1274632 34.1362321, -118.1274641 34.1365459, -118.1275966 34.136541, -118.1275996 34.1364901, -118.1276424 34.1364921))"
16,15,Keith Spalding,keithSpalding,,6,KEITH SPALDING BUILDING,,Substation 1,,,30.0,Keith Spalding,yes,,"POLYGON ((-118.1276099 34.1357471, -118.1276085 34.1355121, -118.1270152 34.1355113, -118.1270148 34.1357441, -118.1276099 34.1357471))"
16,15,Keith Spalding,keithSpalding,,6,KEITH SPALDING BUILDING,,Substation 1,,,30.0,Keith Spalding,yes,,"POLYGON ((-118.1276099 34.1357471, -118.1276085 34.1355121, -118.1270152 34.1355113, -118.1270148 34.1357441, -118.1276099 34.1357471))"
17,16,Dabney Hall,dabneyHall,,40,DABNEY HALL,,Substation 1,,,53.0,Dabney Hall,yes,,"POLYGON ((-118.1254846 34.1375459, -118.125492 34.1371903, -118.1250159 34.1371886, -118.1250175 34.1372859, -118.1253234 34.1372846, -118.1253229 34.1375455, -118.1254846 34.1375459))"
18,17,Gates-Thomas,gatesThomas,,44,GATES-THOMAS LABORATORY,,Substation 1,,,59.0,Thomas,yes,,"POLYGON ((-118.1248882 34.1371535, -118.1248909 34.1370136, -118.1241976 34.1370114, -118.1241962 34.1371479, -118.1247139 34.1371535, -118.1248882 34.1371535))"
19,18,Parsons Gates,parsonsGates,,31,PARSONS-GATES HALL OF ADMINISTRATION,,Substation 1,,,44.0,Parsons-Gates,yes,,"POLYGON ((-118.126 34.1375409, -118.1259987 34.13729, -118.1259987 34.1371901, -118.1258041 34.1371912, -118.1258069 34.1375431, -118.126 34.1375409))"
20,19,Church,church,,29,CHURCH LABORATORY,,Substation 1,,,41.0,Church,yes,,"POLYGON ((-118.1275999 34.1375897, -118.1276013 34.1374476, -118.1272848 34.1374476, -118.1271171 34.1374476, -118.1265928 34.1374487, -118.1265901 34.1375242, -118.1265914 34.1375886, -118.1275999 34.1375897))"
21,20,Crellin,crellin,,30,CRELLIN LABORATORY,,Substation 1,,,43.0,Crellin,yes,,"POLYGON ((-118.1264573 34.1375442, -118.1264587 34.1375231, -118.1265901 34.1375242, -118.1265928 34.1374487, -118.12646 34.1374498, -118.126456 34.1371901, -118.1264332 34.137191, -118.1262696 34.1371912, -118.1262655 34.1372911, -118.1262655 34.1375453, -118.1264573 34.1375442))"
